RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.546172e-01	1.000000e+00	1.325000e+01	1.325000e+01	-1.500000e+00	-1.500000e+00	1.325000e+01	-3.500000e+00	-1.000000e+00	3.500000e+00	-2.000000e+00	0.000000e+00	2.000000e+00
2	9.882688e-01	2.000000e+00	7.944074e+00	4.565342e+00	1.403729e-02	-2.471034e+00	4.565342e+00	-3.143438e+00	-1.242536e+00	2.529857e+00	-2.485071e+00	0.000000e+00	2.000000e+00
3	9.882688e-01	4.000000e+00	1.986018e+00	1.157420e+00	1.978777e+00	-5.510806e-01	1.157420e+00	-7.858595e-01	-1.264929e+00	6.212678e-01	-2.529857e+00	0.000000e+00	2.000000e+00
4	7.260985e-01	4.000000e+00	4.965046e-01	2.893549e-01	4.640291e-01	-1.572388e-01	2.893549e-01	-1.964649e-01	-3.106339e-01	6.324644e-01	-6.212679e-01	0.000000e+00	2.000000e+00
5	5.690243e-01	4.000000e+00	2.970433e-01	1.115762e-01	9.228080e-01	-1.195461e-08	1.115762e-01	-1.338467e-01	-4.614040e-01	2.900857e-01	-9.228080e-01	0.000000e+00	2.000000e+00
6	5.692207e-01	4.000000e+00	2.959005e-01	1.377310e-01	7.294235e-01	-7.115084e-09	1.377310e-01	-1.471944e-01	-3.647118e-01	4.035912e-01	-7.294235e-01	0.000000e+00	2.000000e+00
7	5.691277e-01	4.000000e+00	2.893464e-01	1.439812e-01	8.107845e-01	-7.199367e-09	1.439812e-01	-1.433298e-01	-4.053923e-01	3.535584e-01	-8.107845e-01	0.000000e+00	2.000000e+00
8	5.691673e-01	4.000000e+00	2.908711e-01	1.451389e-01	7.753816e-01	-7.138709e-09	1.451389e-01	-1.453540e-01	-3.876908e-01	3.749225e-01	-7.753816e-01	0.000000e+00	2.000000e+00
9	5.691502e-01	4.000000e+00	2.899723e-01	1.453542e-01	7.905689e-01	-7.162119e-09	1.453542e-01	-1.445480e-01	-3.952845e-01	3.656809e-01	-7.905689e-01	0.000000e+00	2.000000e+00
10	5.691574e-01	4.000000e+00	2.903147e-01	1.453941e-01	7.840134e-01	-7.151511e-09	1.453941e-01	-1.449076e-01	-3.920067e-01	3.696559e-01	-7.840134e-01	0.000000e+00	2.000000e+00
11	1.000000e+00	4.000000e+00	2.901589e-01	1.454015e-01	7.868355e-01	-7.155986e-09	1.454015e-01	-1.447549e-01	-3.934178e-01	3.679420e-01	-7.868356e-01	0.000000e+00	2.000000e+00
12	1.000000e+00	4.000000e+00	2.902245e-01	1.454029e-01	7.856192e-01	-7.154040e-09	1.454029e-01	-1.448211e-01	-3.928096e-01	3.686802e-01	-7.856192e-01	0.000000e+00	2.000000e+00
13	1.000000e+00	4.000000e+00	2.901959e-01	1.454032e-01	7.861432e-01	-7.154875e-09	1.454032e-01	-1.447927e-01	-3.930716e-01	3.683621e-01	-7.861432e-01	0.000000e+00	2.000000e+00
14	1.000000e+00	4.000000e+00	2.902082e-01	1.454032e-01	7.859174e-01	-7.154515e-09	1.454032e-01	-1.448049e-01	-3.929587e-01	3.684991e-01	-7.859174e-01	0.000000e+00	2.000000e+00
15	1.000000e+00	4.000000e+00	2.902029e-01	1.454032e-01	7.860147e-01	-7.154670e-09	1.454032e-01	-1.447997e-01	-3.930074e-01	3.684401e-01	-7.860147e-01	0.000000e+00	2.000000e+00
16	1.000000e+00	4.000000e+00	2.902051e-01	1.454032e-01	7.859728e-01	-7.154603e-09	1.454032e-01	-1.448019e-01	-3.929864e-01	3.684655e-01	-7.859728e-01	0.000000e+00	2.000000e+00
17	1.000000e+00	4.000000e+00	2.902042e-01	1.454032e-01	7.859908e-01	-7.154632e-09	1.454032e-01	-1.448010e-01	-3.929954e-01	3.684546e-01	-7.859909e-01	0.000000e+00	2.000000e+00
18	1.000000e+00	4.000000e+00	2.902046e-01	1.454032e-01	7.859831e-01	-7.154619e-09	1.454032e-01	-1.448014e-01	-3.929915e-01	3.684593e-01	-7.859831e-01	0.000000e+00	2.000000e+00
19	1.000000e+00	4.000000e+00	2.902044e-01	1.454032e-01	7.859864e-01	-7.154625e-09	1.454032e-01	-1.448012e-01	-3.929932e-01	3.684572e-01	-7.859864e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	4.000000e+00	2.902045e-01	1.454032e-01	7.859850e-01	-7.154623e-09	1.454032e-01	-1.448013e-01	-3.929925e-01	3.684581e-01	-7.859850e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	4.000000e+00	2.902045e-01	1.454032e-01	7.859856e-01	-7.154623e-09	1.454032e-01	-1.448012e-01	-3.929928e-01	3.684577e-01	-7.859856e-01	0.000000e+00	2.000000e+00
22	1.000000e+00	4.000000e+00	2.902045e-01	1.454032e-01	7.859853e-01	-7.154623e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684579e-01	-7.859853e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	4.000000e+00	2.902045e-01	1.454032e-01	7.859854e-01	-7.154623e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684578e-01	-7.859854e-01	0.000000e+00	2.000000e+00
24	1.000000e+00	4.000000e+00	2.902045e-01	1.454032e-01	7.859854e-01	-7.154623e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684579e-01	-7.859854e-01	0.000000e+00	2.000000e+00
25		4.000000e+00	2.902045e-01	1.454032e-01	7.859854e-01	-7.154623e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684579e-01	-7.859854e-01	0.000000e+00	2.000000e+00
