RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.294372e-01	-3.920573e-01
2	4.061938e-01	-3.616975e-01
3	3.328051e-01	-4.169013e-01
4	3.328051e-01	-4.169013e-01
5	3.328051e-01	-4.169013e-01
6	3.328051e-01	-4.169013e-01
7	3.328051e-01	-4.169013e-01
8	3.566237e-01	-3.997641e-01
9	3.817711e-01	-3.811937e-01
10	3.576076e-01	-4.010098e-01
11	3.699566e-01	-3.914195e-01
12	3.649230e-01	-3.958070e-01
13	3.695977e-01	-3.920930e-01
14	3.655239e-01	-3.953430e-01
15	3.655240e-01	-3.953430e-01
16	3.655243e-01	-3.953428e-01
17	3.665402e-01	-3.945244e-01
18	3.680588e-01	-3.932992e-01
19	3.688164e-01	-3.926871e-01
20	3.691926e-01	-3.923829e-01
21	3.693756e-01	-3.922349e-01
22	3.694589e-01	-3.921675e-01
23	3.693370e-01	-3.922673e-01
24	3.693685e-01	-3.922418e-01
25	3.692781e-01	-3.923162e-01
