RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.391140e-01	1.000000e+00	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	1.118738e+00	1.000000e+00	2.063503e-01	-3.119690e-01	9.242717e-01	1.401572e-01	-3.119690e-01	-8.995250e-02	-3.920573e-01	2.294372e-01	-7.841145e-01	0.000000e+00	2.000000e+00
3	1.118738e+00	2.000000e+00	5.158758e-02	3.836493e-02	8.171317e-01	5.876946e-01	3.836493e-02	-2.248813e-02	-1.147186e-01	1.960286e-01	-2.294372e-01	0.000000e+00	2.000000e+00
4	1.118738e+00	4.000000e+00	1.289689e-02	9.591232e-03	9.522475e-01	7.562189e-01	9.591232e-03	-5.622032e-03	-9.801431e-02	5.735929e-02	-1.960286e-01	0.000000e+00	2.000000e+00
5	1.118738e+00	4.000000e+00	3.224224e-03	2.397808e-03	9.518154e-01	8.944561e-01	2.397808e-03	-1.405508e-03	-2.867965e-02	4.900716e-02	-5.735929e-02	0.000000e+00	2.000000e+00
6	1.118738e+00	4.000000e+00	8.060559e-04	5.994520e-04	9.862606e-01	9.372534e-01	5.994520e-04	-3.513770e-04	-2.450358e-02	1.433982e-02	-4.900716e-02	0.000000e+00	2.000000e+00
7	1.118738e+00	4.000000e+00	2.015140e-04	1.498630e-04	9.877996e-01	9.734598e-01	1.498630e-04	-8.784425e-05	-7.169912e-03	1.225179e-02	-1.433982e-02	0.000000e+00	2.000000e+00
8	1.118738e+00	4.000000e+00	5.037850e-05	3.746576e-05	9.964526e-01	9.842008e-01	3.746576e-05	-2.196107e-05	-6.125895e-03	3.584956e-03	-1.225179e-02	0.000000e+00	2.000000e+00
9	1.118738e+00	4.000000e+00	1.259463e-05	9.366441e-06	9.969403e-01	9.933553e-01	9.366441e-06	-5.490268e-06	-1.792478e-03	3.062948e-03	-3.584957e-03	0.000000e+00	2.000000e+00
10	1.118738e+00	4.000000e+00	3.148659e-06	2.341611e-06	9.991061e-01	9.960432e-01	2.341611e-06	-1.372568e-06	-1.531474e-03	8.962395e-04	-3.062949e-03	0.000000e+00	2.000000e+00
11	3.330172e-01	4.000000e+00	7.871655e-07	5.854031e-07	9.992345e-01	9.983382e-01	5.854031e-07	-3.431423e-07	-4.481201e-04	7.657375e-04	-8.962402e-04	0.000000e+00	2.000000e+00
12	8.325438e-02	4.000000e+00	1.967917e-07	1.463510e-07	9.997761e-01	9.990103e-01	1.463510e-07	-8.578577e-08	-3.828690e-04	2.240604e-04	-7.657381e-04	0.000000e+00	2.000000e+00
13	2.081364e-02	4.000000e+00	4.919813e-08	3.658784e-08	9.998086e-01	9.995845e-01	3.658784e-08	-2.144654e-08	-1.120305e-04	1.914348e-04	-2.240610e-04	0.000000e+00	2.000000e+00
14	5.203435e-03	4.000000e+00	1.229963e-08	9.147007e-09	9.999440e-01	9.997526e-01	9.147007e-09	-5.361682e-09	-9.571773e-05	5.601556e-05	-1.914355e-04	0.000000e+00	2.000000e+00
15	5.203435e-03	2.000000e+00	3.074954e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
16	5.203435e-03	1.000000e+00	3.074954e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
17	5.203435e-03	5.000000e-01	3.074954e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
18	5.203435e-03	2.500000e-01	3.074954e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
19	5.203413e-03	1.250000e-01	3.074954e-09	2.286773e-09	9.999521e-01	9.998961e-01	2.286773e-09						
20	5.203425e-03	6.250000e-02	3.074999e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
21	5.203449e-03	3.125000e-02	3.074975e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
22	5.203446e-03	1.562500e-02	3.074928e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
23	5.203389e-03	7.812500e-03	3.074928e-09	2.286763e-09	9.999521e-01	9.998961e-01	2.286763e-09						
24	5.203252e-03	3.906250e-03	3.075142e-09	2.286775e-09	9.999521e-01	9.998961e-01	2.286775e-09						
25	5.202675e-03	1.953125e-03	3.075709e-09	2.286776e-09	9.999521e-01	9.998961e-01	2.286776e-09						
26	5.200528e-03	9.765625e-04	3.078092e-09	2.286778e-09	9.999521e-01	9.998960e-01	2.286778e-09						
27	5.191777e-03	4.882812e-04	3.086905e-09	2.286807e-09	9.999521e-01	9.998958e-01	2.286807e-09						
28	5.157157e-03	2.441406e-04	3.121949e-09	2.287257e-09	9.999521e-01	9.998947e-01	2.287257e-09						
29	5.149524e-03	1.220703e-04	3.249832e-09	2.293095e-09	9.999518e-01	9.998908e-01	2.293095e-09						
30		6.103516e-05	3.276256e-09	2.295063e-09	9.999518e-01	9.998901e-01	2.295063e-09						
