RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.835288e-01	-8.023833e-01
2	1.212229e+00	1.010633e-01
3	4.336871e-01	-4.451568e-01
4	8.004100e-01	-1.052829e-01
5	2.052820e-01	-5.467991e-01
6	3.086899e-01	-4.443032e-01
7	4.044442e-01	-3.639531e-01
8	3.086889e-01	-4.443019e-01
9	3.559065e-01	-4.033276e-01
10	4.044455e-01	-3.639547e-01
11	3.800212e-01	-3.834517e-01
12	3.559078e-01	-4.033292e-01
13	3.679217e-01	-3.933387e-01
14	3.559066e-01	-4.033280e-01
15	3.619008e-01	-3.983179e-01
16	3.649073e-01	-3.958249e-01
17	3.664162e-01	-3.945868e-01
18	3.649090e-01	-3.958328e-01
19	3.656604e-01	-3.952131e-01
20	3.649059e-01	-3.958408e-01
21	3.641478e-01	-3.964643e-01
22	3.645201e-01	-3.961562e-01
23	3.647003e-01	-3.960060e-01
24	3.647815e-01	-3.959376e-01
25	3.648125e-01	-3.959113e-01
26	3.648221e-01	-3.959031e-01
27	3.648247e-01	-3.959009e-01
28	3.648254e-01	-3.959003e-01
29	3.648255e-01	-3.959002e-01
30	3.648256e-01	-3.959002e-01
