RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793639e-01	-4.714512e-01
2	1.125801e+00	6.103767e-02
3	6.815762e-01	-1.744237e-01
4	4.724500e-01	-3.126501e-01
5	3.733175e-01	-3.890028e-01
6	2.793639e-01	-4.714511e-01
7	3.256092e-01	-4.293782e-01
8	3.492941e-01	-4.089889e-01
9	3.612649e-01	-3.989469e-01
10	3.672809e-01	-3.939630e-01
11	3.612642e-01	-3.989474e-01
12	3.642693e-01	-3.964527e-01
13	3.657730e-01	-3.952083e-01
14	3.665239e-01	-3.945878e-01
15	3.668965e-01	-3.942802e-01
16	3.670775e-01	-3.941308e-01
17	3.671592e-01	-3.940633e-01
18	3.670376e-01	-3.941637e-01
19	3.669160e-01	-3.942641e-01
20	3.667944e-01	-3.943645e-01
21	3.668257e-01	-3.943386e-01
22	3.667355e-01	-3.944131e-01
23	3.666452e-01	-3.944876e-01
24	3.665549e-01	-3.945622e-01
25	3.664646e-01	-3.946368e-01
