RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793198e-01	-4.713878e-01
2	1.125773e+00	6.107560e-02
3	6.815441e-01	-1.743766e-01
4	4.724142e-01	-3.125968e-01
5	3.732771e-01	-3.889437e-01
6	2.793196e-01	-4.713876e-01
7	3.255673e-01	-4.293173e-01
8	3.492535e-01	-4.089296e-01
9	3.612226e-01	-3.988854e-01
10	3.672370e-01	-3.938997e-01
11	3.612218e-01	-3.988858e-01
12	3.642255e-01	-3.963894e-01
13	3.657338e-01	-3.951506e-01
14	3.664856e-01	-3.945313e-01
15	3.668581e-01	-3.942233e-01
16	3.670384e-01	-3.940733e-01
17	3.668351e-01	-3.942413e-01
18	3.669162e-01	-3.941730e-01
19	3.669503e-01	-3.941503e-01
20	3.668572e-01	-3.942212e-01
21	3.668668e-01	-3.942131e-01
22	3.668694e-01	-3.942109e-01
23	3.668700e-01	-3.942103e-01
24	3.668732e-01	-3.942139e-01
25	3.668703e-01	-3.942101e-01
26	3.668703e-01	-3.942101e-01
27	3.668703e-01	-3.942101e-01
28	3.668703e-01	-3.942101e-01
29	3.668703e-01	-3.942101e-01
30	3.668703e-01	-3.942101e-01
