RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	6.968787e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	9.230000e+00	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	-8.188903e-01	1.000000e+00	-3.426688e-01	-1.135063e+00	9.056886e-01	-1.782973e-09	-1.135063e+00	7.981861e-01	-1.351733e+00	-2.377768e+00	-4.954005e-01	0.000000e+00	-1.718238e-01
3	7.851633e-01	5.000000e-01	-2.153146e-01	-2.133968e+00	5.478313e-01	-8.613814e-02	-2.133968e+00						
4	-3.051351e+00	5.000000e-01	-2.843500e-01	-3.797997e-01	5.120646e-01	-1.611664e-09	-3.797997e-01	4.403715e-01	7.072663e-01	-1.499329e+00	-4.951925e-01	0.000000e+00	2.161117e-01
5	-9.143888e-01	2.500000e-01	-3.484319e-01	-2.895437e-01	4.092866e-01	-4.841231e-09	-2.895437e-01						
6	3.371979e-01	1.250000e-01	-2.934350e-01	1.506063e-02	4.577918e-01	-5.543063e-09	1.506063e-02						
7	-3.981865e-01	1.250000e-01	-2.854591e-01	1.074225e-01	4.783749e-01	-5.901305e-09	1.074225e-01	4.282312e-01	1.176375e+00	-1.090230e+00	-4.678197e-01	0.000000e+00	5.273879e-01
8	4.402687e-01	6.250000e-02	-2.863024e-01	1.146144e-01	5.096154e-01	-7.934540e-09	1.146144e-01						
9	3.877964e-01	6.250000e-02	-2.863194e-01	1.347609e-01	4.903356e-01	-7.492591e-09	1.347609e-01	4.326084e-01	9.510982e-01	-1.306649e+00	-4.858363e-01	0.000000e+00	3.566145e-01
10	-4.167704e-01	6.250000e-02	-2.910281e-01	1.375948e-01	4.720188e-01	-6.459635e-09	1.375948e-01	4.365798e-01	1.186007e+00	-1.102623e+00	-4.697912e-01	0.000000e+00	5.115998e-01
11	3.677310e-01	3.125000e-02	-2.867811e-01	1.350494e-01	4.897864e-01	-7.495463e-09	1.350494e-01						
12	-3.311944e-01	3.125000e-02	-2.889044e-01	1.417617e-01	4.801479e-01	-2.637229e-09	1.417617e-01	4.339822e-01	1.070536e+00	-1.207405e+00	-4.789234e-01	0.000000e+00	4.306247e-01
13	4.794968e-01	1.562500e-02	-2.886115e-01	1.441436e-01	4.876035e-01	-7.283442e-09	1.441436e-01						
14	9.427732e-01	1.562500e-02	-2.889944e-01	1.450958e-01	4.834089e-01	-6.979483e-09	1.450958e-01	4.351410e-01	1.013532e+00	-1.260717e+00	-4.829835e-01	0.000000e+00	3.889602e-01
15	-5.823525e+00	3.125000e-02	-2.897477e-01	1.453345e-01	4.791645e-01	-6.710823e-09	1.453345e-01	4.352504e-01	1.071971e+00	-1.209288e+00	-4.791681e-01	0.000000e+00	4.282342e-01
16	-6.670072e+00	1.562500e-02	-2.886513e-01	1.441690e-01	4.875530e-01	-7.268755e-09	1.441690e-01						
17	-7.734390e+00	7.812500e-03	-2.890187e-01	1.451118e-01	4.833803e-01	-7.487387e-09	1.451118e-01						
18	-8.754476e+00	3.906250e-03	-2.893373e-01	1.453759e-01	4.812790e-01	-6.932286e-09	1.453759e-01						
19	-9.345936e+00	1.953125e-03	-2.895301e-01	1.454560e-01	4.802247e-01	-6.914399e-09	1.454560e-01						
20	-9.205286e+00	9.765625e-04	-2.896349e-01	1.454831e-01	4.796968e-01	-6.905493e-09	1.454831e-01						
21	-8.224720e+00	4.882812e-04	-2.896892e-01	1.454933e-01	4.794332e-01	-6.901273e-09	1.454933e-01						
22	-6.614793e+00	2.441406e-04	-2.897167e-01	1.454976e-01	4.793023e-01	-6.899135e-09	1.454976e-01						
23	-5.025979e+00	1.220703e-04	-2.897301e-01	1.454995e-01	4.792387e-01	-6.898454e-09	1.454995e-01						
24	-4.086805e+00	6.103516e-05	-2.897362e-01	1.455003e-01	4.792100e-01	-6.898534e-09	1.455003e-01						
25		3.051758e-05	-2.897386e-01	1.455006e-01	4.791990e-01	-6.898837e-09	1.455006e-01						
