RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.308362e-01	-3.945243e-01
2	6.634477e-01	5.070562e-01
3	6.387817e-01	-1.054214e-01
4	4.654190e-01	-3.080899e-01
5	2.595046e-01	-4.498618e-01
6	3.661712e-01	-3.840826e-01
7	2.710867e-01	-4.652240e-01
8	3.219730e-01	-4.282728e-01
9	3.473681e-01	-4.090428e-01
10	3.719464e-01	-3.897431e-01
11	3.476070e-01	-4.093432e-01
12	3.598838e-01	-3.996750e-01
13	3.659951e-01	-3.948054e-01
14	3.599800e-01	-3.997917e-01
15	3.630187e-01	-3.973370e-01
16	3.645410e-01	-3.961130e-01
17	3.653001e-01	-3.954985e-01
18	3.645446e-01	-3.961252e-01
19	3.649194e-01	-3.958201e-01
20	3.651009e-01	-3.956713e-01
21	3.651824e-01	-3.956034e-01
22	3.652135e-01	-3.955772e-01
23	3.652231e-01	-3.955691e-01
24	3.652257e-01	-3.955669e-01
25	3.652264e-01	-3.955663e-01
26	3.652266e-01	-3.955662e-01
27	3.652266e-01	-3.955662e-01
28	3.652266e-01	-3.955662e-01
29	3.652266e-01	-3.955662e-01
30	3.652266e-01	-3.955662e-01
