RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571700e-01	-3.217030e-02	1.571700e-01
4	1.454758e-01	-7.557994e-09	1.454758e-01
5	1.454167e-01	-7.148912e-09	1.454167e-01
6	1.454057e-01	-7.157159e-09	1.454057e-01
7	1.454037e-01	-7.153545e-09	1.454037e-01
8	1.454033e-01	-7.155091e-09	1.454033e-01
9	1.454032e-01	-7.154422e-09	1.454032e-01
10	1.454032e-01	-7.154710e-09	1.454032e-01
11	1.454032e-01	-7.154586e-09	1.454032e-01
12	1.454032e-01	-7.154639e-09	1.454032e-01
13	1.454032e-01	-7.154616e-09	1.454032e-01
14	1.454032e-01	-7.154626e-09	1.454032e-01
15	1.454032e-01	-7.154622e-09	1.454032e-01
16	1.454032e-01	-7.154624e-09	1.454032e-01
17	1.454032e-01	-7.154623e-09	1.454032e-01
18	1.454032e-01	-7.154623e-09	1.454032e-01
19	1.454032e-01	-7.154623e-09	1.454032e-01
20	1.454032e-01	-7.154623e-09	1.454032e-01
21	1.454032e-01	-7.154623e-09	1.454032e-01
22	1.454032e-01	-7.154623e-09	1.454032e-01
23	1.454032e-01	-7.154623e-09	1.454032e-01
24	1.454032e-01	-7.154623e-09	1.454032e-01
25	1.454032e-01	-7.154623e-09	1.454032e-01
