RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.445903e+00	1.000000e+00	4.500000e+00	4.500000e+00	1.750000e+00	1.750000e+00	2.200000e+01	-2.250000e+00	-1.500000e+00	1.500000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	1.500000e+00	2.000000e+00	1.257359e+00	1.128680e+00	8.357864e-01	-7.500000e-01	1.128680e+00	-6.286797e-01	-7.928932e-01	7.928932e-01	-1.585786e+00	0.000000e+00	2.000000e+00
3	9.976679e-01	4.000000e+00	3.143399e-01	3.143398e-01	7.607233e-01	-3.217003e-02	3.143398e-01	-1.571700e-01	-3.964467e-01	3.964467e-01	-7.928933e-01	0.000000e+00	2.000000e+00
4	5.691097e-01	4.000000e+00	2.897256e-01	1.454136e-01	7.945018e-01	1.083504e-04	1.464971e-01	-1.442870e-01	-3.971967e-01	3.632634e-01	-7.943935e-01	0.000000e+00	2.000000e+00
5	5.691551e-01	4.000000e+00	2.903388e-01	1.453347e-01	7.823488e-01	1.083511e-04	1.464182e-01	-1.449594e-01	-3.911202e-01	3.706262e-01	-7.822405e-01	0.000000e+00	2.000000e+00
6	5.691386e-01	4.000000e+00	2.900460e-01	1.453601e-01	7.875772e-01	1.083511e-04	1.464437e-01	-1.446776e-01	-3.937344e-01	3.674496e-01	-7.874689e-01	0.000000e+00	2.000000e+00
7	3.780562e-01	4.000000e+00	2.901669e-01	1.453649e-01	7.853231e-01	1.083511e-04	1.464484e-01	-1.448004e-01	-3.926074e-01	3.688174e-01	-7.852148e-01	0.000000e+00	2.000000e+00
8	7.016387e-02	4.000000e+00	2.901138e-01	1.453657e-01	7.862940e-01	1.083511e-04	1.464493e-01	-1.447478e-01	-3.930928e-01	3.682279e-01	-7.861857e-01	0.000000e+00	2.000000e+00
9	1.303182e-02	4.000000e+00	2.901365e-01	1.453659e-01	7.858757e-01	1.083511e-04	1.464494e-01	-1.447705e-01	-3.928837e-01	3.684819e-01	-7.857673e-01	0.000000e+00	2.000000e+00
10	2.416101e-03	4.000000e+00	2.901267e-01	1.453659e-01	7.860559e-01	1.083511e-04	1.464495e-01	-1.447607e-01	-3.929738e-01	3.683725e-01	-7.859476e-01	0.000000e+00	2.000000e+00
11	-2.000000e+00	2.000000e+00	2.901309e-01	1.453659e-01	7.859782e-01	1.083511e-04	1.464495e-01						
12	-2.000000e+00	1.000000e+00	2.901307e-01	1.453659e-01	7.859783e-01	1.086072e-04	1.464519e-01						
13	-2.000000e+00	5.000000e-01	2.901307e-01	1.453659e-01	7.859783e-01	1.085882e-04	1.464517e-01						
14	-2.000000e+00	2.500000e-01	2.901272e-01	1.453641e-01	7.859790e-01	1.136915e-04	1.465010e-01						
15	-2.000000e+00	1.250000e-01	2.901272e-01	1.453641e-01	7.859790e-01	1.136989e-04	1.465011e-01						
16	9.988312e-01	6.250000e-02	2.901287e-01	1.453649e-01	7.859787e-01	1.115178e-04	1.464800e-01						
17	-2.000000e+00	1.250000e-01	2.901310e-01	1.453660e-01	7.859782e-01	1.081894e-04	1.464479e-01	-1.447650e-01	-3.929350e-01	3.684197e-01	-7.858700e-01	0.000000e+00	2.000000e+00
18	-2.425315e-04	6.250000e-02	2.901269e-01	1.453649e-01	7.860121e-01	1.115170e-04	1.464800e-01						
19	7.735358e-03	3.125000e-02	2.901292e-01	1.453660e-01	7.860117e-01	1.081894e-04	1.464479e-01						
20	-2.000000e+00	1.562500e-02	2.901292e-01	1.453660e-01	7.860117e-01	1.081886e-04	1.464479e-01						
21	-2.000000e+00	7.812500e-03	2.901273e-01	1.453651e-01	7.860121e-01	1.109262e-04	1.464743e-01						
22	-2.000000e+00	3.906250e-03	2.901207e-01	1.453618e-01	7.860134e-01	1.205310e-04	1.465671e-01						
23	9.996629e-01	1.953125e-03	2.901259e-01	1.453644e-01	7.860123e-01	1.129663e-04	1.464940e-01						
24	-2.000000e+00	3.906250e-03	2.901293e-01	1.453660e-01	7.860117e-01	1.080852e-04	1.464469e-01	-1.447632e-01	-3.929518e-01	3.683995e-01	-7.859036e-01	0.000000e+00	2.000000e+00
25	9.999920e-01	1.953125e-03	2.901215e-01	1.453618e-01	7.859990e-01	1.205084e-04	1.465669e-01						
26	-2.000000e+00	3.906250e-03	2.901306e-01	1.453663e-01	7.859972e-01	1.072762e-04	1.464391e-01	-1.447643e-01	-3.929449e-01	3.684086e-01	-7.858899e-01	0.000000e+00	2.000000e+00
27	1.804450e-03	1.953125e-03	2.901211e-01	1.453618e-01	7.860052e-01	1.205084e-04	1.465669e-01						
28	9.999979e-01	9.765625e-04	2.901303e-01	1.453663e-01	7.860033e-01	1.072761e-04	1.464391e-01						
29	-2.000000e+00	1.953125e-03	2.901307e-01	1.453665e-01	7.860032e-01	1.067125e-04	1.464336e-01	-1.447641e-01	-3.929483e-01	3.684051e-01	-7.858965e-01	0.000000e+00	2.000000e+00
30		9.765625e-04	2.901299e-01	1.453660e-01	7.860008e-01	1.080848e-04	1.464469e-01						
