RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	4.555173e-01	4.102882e-01	4.558399e+00
3	3.149276e-01	1.198488e+00	1.229981e+01
4	1.560215e-01	1.687207e-02	3.247422e-01
5	3.170023e-01	3.080737e-01	3.397740e+00
6	1.642141e-01	5.643980e-02	7.286121e-01
7	1.427721e-01	1.055522e-02	2.483244e-01
8	1.570436e-01	1.414628e-02	2.985064e-01
9	1.462889e-01	4.499306e-03	1.912820e-01
10	1.455517e-01	2.227625e-03	1.678280e-01
11	1.465252e-01	3.836747e-03	1.848927e-01
12	1.450778e-01	1.224489e-03	1.573227e-01
13	1.461777e-01	3.612231e-04	1.497899e-01
14	1.451075e-01	1.138973e-03	1.564972e-01
15	1.453705e-01	3.894369e-04	1.492649e-01
16	1.453648e-01	3.957654e-04	1.493225e-01
17	1.453507e-01	1.527958e-04	1.468786e-01
18	1.454502e-01	1.492316e-04	1.469426e-01
19	1.454058e-01	6.341919e-05	1.460400e-01
20	1.454804e-01	6.230919e-05	1.461035e-01
21	1.454488e-01	2.847300e-05	1.457335e-01
22	1.454923e-01	2.809183e-05	1.457733e-01
23	1.454742e-01	1.347375e-05	1.456089e-01
24	1.454977e-01	1.336542e-05	1.456314e-01
25	1.454881e-01	6.632914e-06	1.455544e-01
26	1.455004e-01	6.562442e-06	1.455660e-01
27	1.454956e-01	3.450066e-06	1.455301e-01
28	1.455022e-01	3.419343e-06	1.455364e-01
29	1.455000e-01	2.056319e-06	1.455206e-01
30	1.455040e-01	2.028017e-06	1.455243e-01
