RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.024932e-01	-2.942905e-02
2	8.966721e-01	1.141997e-02
3	1.333821e-01	-6.346360e-01
4	9.329446e-01	-3.405320e-02
5	4.989715e-01	-2.935431e-01
6	1.333827e-01	-6.346366e-01
7	3.033075e-01	-4.491568e-01
8	4.989701e-01	-2.935414e-01
9	3.987538e-01	-3.684411e-01
10	3.033115e-01	-4.491615e-01
11	3.503606e-01	-4.079931e-01
12	3.987556e-01	-3.684433e-01
13	3.744006e-01	-3.880268e-01
14	3.503620e-01	-4.079948e-01
15	3.623377e-01	-3.979585e-01
16	3.683560e-01	-3.929773e-01
17	3.713763e-01	-3.905012e-01
18	3.683546e-01	-3.929785e-01
19	3.698664e-01	-3.917440e-01
20	3.683567e-01	-3.929870e-01
21	3.668478e-01	-3.942311e-01
22	3.675997e-01	-3.936120e-01
23	3.668443e-01	-3.942387e-01
24	3.660857e-01	-3.948616e-01
25	3.664581e-01	-3.945536e-01
26	3.666385e-01	-3.944036e-01
27	3.667197e-01	-3.943354e-01
28	3.667508e-01	-3.943091e-01
29	3.667604e-01	-3.943009e-01
30	3.667630e-01	-3.942987e-01
