RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.835288e-01	-8.023833e-01
2	1.212229e+00	1.010633e-01
3	4.336871e-01	-4.451568e-01
4	8.004100e-01	-1.052829e-01
5	2.052820e-01	-5.467991e-01
6	3.086899e-01	-4.443032e-01
7	4.044442e-01	-3.639531e-01
8	3.086889e-01	-4.443019e-01
9	3.559065e-01	-4.033276e-01
10	4.044455e-01	-3.639547e-01
11	3.800212e-01	-3.834517e-01
12	3.559078e-01	-4.033292e-01
13	3.679217e-01	-3.933387e-01
14	3.559066e-01	-4.033280e-01
15	3.619008e-01	-3.983179e-01
16	3.649073e-01	-3.958249e-01
17	3.664162e-01	-3.945868e-01
18	3.671683e-01	-3.939678e-01
19	3.664112e-01	-3.945926e-01
20	3.667837e-01	-3.942847e-01
21	3.669641e-01	-3.941348e-01
22	3.670453e-01	-3.940666e-01
23	3.670793e-01	-3.940439e-01
24	3.669862e-01	-3.941148e-01
25	3.668648e-01	-3.942154e-01
26	3.668957e-01	-3.941891e-01
27	3.669053e-01	-3.941809e-01
28	3.669079e-01	-3.941787e-01
29	3.669086e-01	-3.941781e-01
30	3.669087e-01	-3.941780e-01
