RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.003824e+00	5.000000e-03	1.000000e-02		-7.752530e+01	-3.276256e-02	-6.792812e+00	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	1.007243e+00	1.000000e-02	2.000000e-02		-8.834613e+01	-3.107377e-02	-8.830491e+00	-8.834613e+00	-2.006333e+02	-8.830491e+01	5.168882e-03	-3.107169e-02	1.108440e-01	4.523206e-01	2.533707e-01	9.829573e-02	8.516888e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.122872e+02	-3.854701e+01	4.781081e+01	-1.811549e+01	-3.624265e-02	-3.739292e-03	1.675048e-03	-1.725606e-03
3	1.012418e+00	2.000000e-02	4.000000e-02		-1.089084e+02	-2.758953e-02	-1.087606e+01	-1.089084e+01	-2.021808e+02	-1.087606e+02	1.036901e-02	-2.758289e-02	1.098949e-01	4.447856e-01	2.567157e-01	9.823482e-02	9.036901e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	9.327234e+01	-4.105732e+01	4.708101e+01	-1.836861e+01	-3.795854e-02	-3.696121e-03	1.635980e-03	-1.742723e-03
4	1.010844e+00	4.000000e-02	8.000000e-02		-1.456497e+02	-2.019548e-02	-1.451991e+01	-1.456497e+01	-2.002421e+02	-1.451991e+02	2.120568e-02	-2.018276e-02	1.081285e-01	4.298117e-01	2.630595e-01	9.779453e-02	1.012057e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	5.459236e+01	-4.549378e+01	4.522066e+01	-1.873418e+01	-4.140116e-02	-3.541746e-03	1.519904e-03	-1.763713e-03
5	-5.689038e+00	8.000000e-02	4.000000e-02		-2.011584e+02	-3.753719e-03	-2.005629e+01	-2.011584e+01	-1.773563e+02	-2.005629e+02	4.441704e-02	-3.816457e-03	1.049516e-01	4.004991e-01	2.744031e-01	9.572919e-02	1.244170e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.380209e+01	-5.183843e+01	3.988711e+01	-1.888288e+01	-4.817076e-02	-2.961135e-03	1.125727e-03	-1.750801e-03
6	-1.760837e+00	4.000000e-02	2.000000e-02				-2.127648e+01		-1.717652e+02	-2.127648e+02	4.814604e-02	5.962219e-10	1.404189e-01	3.645211e-01	2.730862e-01	9.382777e-02	1.281460e-01												
7	2.541723e-01	2.000000e-02	2.000000e-02				-2.117935e+01		-1.748262e+02	-2.117935e+02	4.836455e-02	8.992723e-10	1.254088e-01	3.767656e-01	2.748329e-01	9.462825e-02	1.283645e-01												
8	2.613534e-01	2.000000e-02	2.000000e-02		-2.105111e+02	1.379048e-04	-2.108269e+01	-2.036158e+01	-1.736408e+02	-2.108269e+02	4.882935e-02	8.993024e-10	1.138205e-01	3.863737e-01	2.759464e-01	9.503008e-02	1.288294e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.687026e+01	-4.877916e+01	3.861020e+01	-1.904133e+01	-4.869145e-02	-1.678069e-03	5.962447e-04	-1.764974e-03
9	-3.271411e-01	2.000000e-02	1.000000e-02		-2.100925e+02	9.320570e-05	-2.105656e+01	-2.054322e+01	-1.708530e+02	-2.105656e+02	4.932732e-02	8.993429e-10	1.045951e-01	3.939224e-01	2.768428e-01	9.531229e-02	1.293273e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.923942e+01	-5.248384e+01	3.842516e+01	-1.855575e+01	-4.923412e-02	-2.741631e-03	9.868456e-04	-1.735807e-03
