RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.330000e+00
2	9.022495e-02	7.000333e-01	9.022495e-02
3	7.357391e-01	8.093059e-02	7.357391e-01
4	1.166132e-01	1.900495e-01	1.166132e-01
5	3.924036e-02	4.570838e-01	3.924036e-02
6	1.155682e-01	2.131458e-01	1.155682e-01
7	6.118961e-02	3.380185e-01	6.118961e-02
8	4.607880e-02	3.982521e-01	4.607880e-02
9	4.161581e-02	4.278391e-01	4.161581e-02
10	4.016608e-02	4.425029e-01	4.016608e-02
11	3.963782e-02	4.498021e-01	3.963782e-02
12	3.942322e-02	4.534420e-01	3.942322e-02
13	3.932880e-02	4.552565e-01	3.932880e-02
14	3.928577e-02	4.561563e-01	3.928577e-02
15	3.926710e-02	4.565931e-01	3.926710e-02
16	3.926125e-02	4.567908e-01	3.926125e-02
17	3.926200e-02	4.568668e-01	3.926200e-02
18	3.926464e-02	4.568906e-01	3.926464e-02
19	3.926682e-02	4.568971e-01	3.926682e-02
20	3.926815e-02	4.568989e-01	3.926815e-02
21	3.926887e-02	4.568993e-01	3.926887e-02
22	3.926923e-02	4.568995e-01	3.926923e-02
23	3.926941e-02	4.568995e-01	3.926941e-02
24	3.926947e-02	4.568995e-01	3.926947e-02
25	3.926949e-02	4.568995e-01	3.926949e-02
26	3.926950e-02	4.568995e-01	3.926950e-02
27	3.926950e-02	4.568995e-01	3.926950e-02
28	3.926950e-02	4.568995e-01	3.926950e-02
29	3.926950e-02	4.568995e-01	3.926950e-02
30	3.926950e-02	4.568995e-01	3.926950e-02
