RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.848683e-01	1.000000e+00	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	9.828585e-01	1.000000e+00	2.063503e-01	-3.119690e-01	6.168539e-01	-3.539246e-01	-3.119690e-01	-8.995251e-02	-3.920573e-01	2.294372e-01	-4.766967e-01	0.000000e+00	4.517709e-01
3	-2.008139e+00	2.000000e+00	2.958185e-01	1.435329e-01	4.629811e-01	-3.643868e-09	1.435329e-01	-1.469193e-01	-3.616975e-01	4.061938e-01	-4.617449e-01	0.000000e+00	5.732098e-01
4	-2.008138e+00	1.000000e+00	2.845659e-01	1.417677e-01	4.933882e-01	-1.010685e-08	1.417677e-01						
5	-2.008139e+00	5.000000e-01	2.845659e-01	1.417677e-01	4.933882e-01	-1.276676e-08	1.417677e-01						
6	-2.008140e+00	2.500000e-01	2.845659e-01	1.417677e-01	4.933882e-01	-8.344481e-09	1.417677e-01						
7	-2.008138e+00	1.250000e-01	2.845659e-01	1.417677e-01	4.933882e-01	-5.699160e-09	1.417677e-01						
8	-6.094732e-01	6.250000e-02	2.845659e-01	1.417677e-01	4.933882e-01	-5.700147e-09	1.417677e-01						
9	3.790274e-01	3.125000e-02	2.869918e-01	1.425395e-01	4.835650e-01	-5.528540e-09	1.425395e-01						
10	1.289384e-02	3.125000e-02	2.910578e-01	1.450529e-01	4.729203e-01	-5.319756e-09	1.450529e-01	-1.455287e-01	-3.811937e-01	3.817711e-01	-4.717701e-01	0.000000e+00	4.952251e-01
11	8.668550e-01	3.125000e-02	2.886920e-01	1.448091e-01	4.815836e-01	-5.088408e-09	1.448091e-01	-1.434041e-01	-4.010098e-01	3.576076e-01	-4.804019e-01	0.000000e+00	4.159608e-01
12	-2.478709e+00	3.125000e-02	2.908737e-01	1.452549e-01	4.746202e-01	-4.503150e-09	1.452549e-01	-1.453698e-01	-3.871102e-01	3.755255e-01	-4.745118e-01	0.000000e+00	4.715592e-01
13	-1.481066e+00	1.562500e-02	2.892432e-01	1.452030e-01	4.803126e-01	-4.907141e-09	1.452030e-01						
14	-6.409089e-02	7.812500e-03	2.895475e-01	1.452174e-01	4.791270e-01	-4.894044e-09	1.452174e-01						
15	4.899571e-01	3.906250e-03	2.902018e-01	1.453259e-01	4.768374e-01	-4.838100e-09	1.453259e-01						
16	1.238602e-01	3.906250e-03	2.905629e-01	1.454199e-01	4.756886e-01	-4.813296e-09	1.454199e-01	-1.451355e-01	-3.896057e-01	3.725188e-01	-4.756262e-01	0.000000e+00	4.615770e-01
17	-2.557232e-02	3.906250e-03	2.902600e-01	1.453776e-01	4.767706e-01	-4.784096e-09	1.453776e-01	-1.448749e-01	-3.920850e-01	3.694987e-01	-4.767087e-01	0.000000e+00	4.516599e-01
18	5.247880e-01	1.953125e-03	2.899957e-01	1.453847e-01	4.778308e-01	-4.752384e-09	1.453847e-01						
19	2.482349e-01	1.953125e-03	2.901458e-01	1.453921e-01	4.772775e-01	-1.107011e-09	1.453921e-01	-1.447518e-01	-3.933444e-01	3.680027e-01	-4.772491e-01	0.000000e+00	4.466226e-01
20	9.918120e-01	1.953125e-03	2.900575e-01	1.454019e-01	4.776571e-01	-4.723863e-09	1.454019e-01	-1.446546e-01	-3.942577e-01	3.669038e-01	-4.776371e-01	0.000000e+00	4.429692e-01
21	-1.133652e+01	3.906250e-03	2.901635e-01	1.454083e-01	4.772900e-01	-4.698067e-09	1.454083e-01	-1.447545e-01	-3.934740e-01	3.678882e-01	-4.773044e-01	0.000000e+00	4.461040e-01
22	-1.132493e+01	1.953125e-03	2.900716e-01	1.454031e-01	4.776093e-01	-8.203562e-09	1.454031e-01						
23	-9.835623e+00	9.765625e-04	2.900716e-01	1.454031e-01	4.776090e-01	-4.720542e-09	1.454031e-01						
24	-4.583274e+00	4.882812e-04	2.900809e-01	1.454031e-01	4.775738e-01	-4.719934e-09	1.454031e-01						
25		2.441406e-04	2.901164e-01	1.454034e-01	4.774406e-01	-4.717775e-09	1.454034e-01						
