RTO_iter	cost	con
1	1.330000e+00	1.910000e+00
2	1.330000e+00	1.910000e+00
3	1.330000e+00	1.910000e+00
4	1.330000e+00	1.910000e+00
5	1.330000e+00	1.910000e+00
6	1.330000e+00	1.910000e+00
7	1.330000e+00	1.910000e+00
8	1.330000e+00	1.910000e+00
9	1.330000e+00	1.910000e+00
10	1.330000e+00	1.910000e+00
11	1.330000e+00	1.910000e+00
12	1.330000e+00	1.910000e+00
13	1.330000e+00	1.910000e+00
14	1.330000e+00	1.910000e+00
15	1.330000e+00	1.910000e+00
16	1.330000e+00	1.910000e+00
17	1.330000e+00	1.910000e+00
18	1.330000e+00	1.910000e+00
19	1.330000e+00	1.910000e+00
20	1.330000e+00	1.910000e+00
21	1.330000e+00	1.910000e+00
22	1.330000e+00	1.910000e+00
23	1.330000e+00	1.910000e+00
24	1.330000e+00	1.910000e+00
25	1.330000e+00	1.910000e+00
26	1.330000e+00	1.910000e+00
