RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.308362e-01	-3.945243e-01
2	6.635961e-01	5.069849e-01
3	6.388391e-01	-1.055024e-01
4	4.654468e-01	-3.081652e-01
5	2.595332e-01	-4.499383e-01
6	3.661966e-01	-3.841548e-01
7	2.711141e-01	-4.652986e-01
8	3.219991e-01	-4.283458e-01
9	3.707526e-01	-3.892388e-01
10	3.223597e-01	-4.287912e-01
11	3.471628e-01	-4.097349e-01
12	3.715255e-01	-3.901638e-01
13	3.471985e-01	-4.097794e-01
14	3.594733e-01	-4.001084e-01
15	3.655843e-01	-3.952379e-01
16	3.595742e-01	-4.002302e-01
17	3.626120e-01	-3.977744e-01
18	3.596088e-01	-4.002740e-01
19	3.611224e-01	-3.990417e-01
20	3.596182e-01	-4.002947e-01
21	3.603746e-01	-3.996767e-01
22	3.611387e-01	-3.990614e-01
23	3.596204e-01	-4.002933e-01
24	3.603748e-01	-3.996769e-01
25	3.607487e-01	-3.993711e-01
26	3.609206e-01	-3.992305e-01
27	3.610056e-01	-3.991609e-01
28	3.610438e-01	-3.991297e-01
29	3.610536e-01	-3.991216e-01
30	3.610562e-01	-3.991195e-01
