RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.178643e-01	1.357647e-01	1.475511e+00
3	1.033827e+00	1.607407e+00	1.710790e+01
4	3.518471e-01	1.612868e-01	1.964715e+00
5	1.681720e-01	1.318857e-02	3.000577e-01
6	1.530280e-01	4.303467e-02	5.833747e-01
7	1.409987e-01	1.306862e-02	2.716849e-01
8	1.638566e-01	1.479149e-02	3.117716e-01
9	1.492366e-01	4.789483e-03	1.971314e-01
10	1.446531e-01	2.276557e-03	1.674186e-01
11	1.495527e-01	3.919810e-03	1.887507e-01
12	1.461600e-01	1.250098e-03	1.586610e-01
13	1.453032e-01	3.746261e-04	1.490495e-01
14	1.461912e-01	1.161847e-03	1.578096e-01
15	1.454795e-01	3.966707e-04	1.494462e-01
16	1.453721e-01	1.529655e-04	1.469017e-01
17	1.455653e-01	1.496845e-04	1.470622e-01
18	1.454742e-01	6.359203e-05	1.461101e-01
19	1.455957e-01	6.248062e-05	1.462205e-01
20	1.455407e-01	2.854487e-05	1.458262e-01
21	1.456078e-01	2.815569e-05	1.458893e-01
22	1.455780e-01	1.349924e-05	1.457130e-01
23	1.455547e-01	-1.155494e-05	1.455547e-01
24	1.456079e-01	2.766706e-05	1.458846e-01
25	1.455781e-01	1.305939e-05	1.457087e-01
